NEOSPORIN EYE DROPS|POLYMYXIN B SULPHATE, GRAMOCILLIN|WELLCOME FOUNDATION LTD. LONDON|04-1161
ALOPROL? X60'S|SALBUTAMOL 2MG|HEMOFARM KONCERN AD26300-VRSAC FEDERAL REPUBLIC OF YUGOSLAVIA PUT 66, 26300-YUGOSLAVIA|04-3538
ALPHA APETIT  X 2 X10'S|CYPROHEPTADINE 4MG|MEDREL PHARMA(INDIA) PVT LTD. 54 B DRUG HOUSE PROCTER ROAD,MUMBAI|04-4653
ALPHAPIN  X 100ML|AMPICILLIN 125MG/5ML|MAXHEAL PHARMACEUTICALS, (INDIA) 103, TULSI NIWAS, JOGESHWARI (W) MUMBAI, INDIA|04-4004
ALVIT MULTIVITAMIN & MINERAL X 60'SPACK SIZE EXTENSION|CA++  54MG, MG++ 0.56MG, ZN++ 0.150MG, VIT A 2432 IU, VIT B1.997MG, VIT B2.957MG, VIT B6 1.23MG, VITB12 .943MG, VIT D 199.45 IU, NICOTINAMIDE 17MG|GUJARAT LIQUID PHARMACAPS PVT LTD;PLOT NO. 662- 666 GIDC WAGHODIA VADODARA INDIA|04-3440
ALWORMS  X 30ML|PIPERAZINE CITRATE ELIXIR 500MG/5ML|SAME AS APPLICANT|04-4545
A-MAG  X 200ML|MAGNESIUM TRISILICATE 250MG, SODIUM BICARBONATE 250MG, LIGHT MAGNESIUM CARBONATE 250MG|SAME AS APPLICANT|04-4335
AMCILLIN -250  X 100'S|AMPICILLIN TRIHYDRATE 250MG|LABORATE PHARMACEUTICALS(INDIA) E-11 IND. AREA PANIPAT 131 102, INDIA|04-4775
AMCILLIN-1  X 10'S|AMPICILLIN 1G|LABORATE PHARMACEUTICALS(I) E-11, IND AREA ,PANIPAT, INDIA|04-4023
AMCLOXIN 500  10X10'S|AMPICILLIN 250MG, CLOXACILLIN 250MG|MAXHEAL PHARMACEUTICALS, (INDIA) 103, TULSI NIWAS, JOGESHWARI (W) MUMBAI 95/6 MIDC SATPUR MOSLULA 422007|04-4024
AMELIA'S CELLULAR SUPPORT  200ML|MELLISA OFFICINALIS,MAGNIFERA INDICA,ECHINACEA SPP., ASTRAGALUS SPP|AMELIA ORGANICS LTD 19 LADIPO OLUWOLE AVENUE ADENIJI AV.IKEJA,LAGOS|04-4765L
AMIQIN  2ML X 10'S|QUININE DIHYDROCHLORIDE 300MG/2ML|SHANGHAI MEDICINAL CORPORATION, NO 9 YANAN RD. SHANGHAI, CHINA|04-4663
AMOXIGRAN X 1'S|AMOXYCILLIN 250MG/5ML|HOVID SDN BHD. 30010 IPOH MALAYSIA.|04-3921
AMOXYTOP  X 100'S|AMOXYCILLIN 250MG|SYNCOM FORMULATION LTD,FACTORY 256-257 SECTION-1, PITHAMPUER, (DHAR) M.P 454775, INDIA|04-3769
AMOXYTOP-500 X 100'S|AMOXYCILLIN 500MG|SYNCOM FORMULATION LTD, FACTORY 256-257 SECTION-1, PITHAMPUER, (DHAR)M.P 454775, INDIA|04-4801
AMPICAP 250 X 100'S|AMPICILLIN 250MG|HOVID SDN BHD.121 JALAM KUALA KANGSA 30010 IPOH, MALAYSIA.|04-0829
AMPICILLIN + CLOXACILLIN  X 10 X 10'S|AMPICILLIN 250MG, CLOXACILLIN 250MG|TROGE MEDICALS GMBH,HAMBURG, GERMANY|04-4688
AMPILEX X 100ML|AMPICILLIN 125MG/5ML|AGLOWMED LTD A1/6104/2 GIDC ANKLESHAWAR, 393002 GUJARAT, INDIA|04-3707
AMPIMAX X 100'S|AMPICILLIN 250MG|MAXHEAL PHARMACEUTICALS (INDIA) 103,TULSI NIWAS JOGESHWARI (W) MUMBAI, INDIA|04-3794
AMPI-PIKURU  X 50'S|AMPICILLIN 500MG|PAR-SHANGHAI PIONEER PHAMACEUTICAL COMPANY; 2158 JINGHANG, CHINA|04-4005
AMPITOP X 100'S|AMPICILLIN TRIHYDRATE 500MG|SYNCOM FORMULATION LTD,FACTORY 256-257 SECTION-1, PITHAMPUER, (DHAR)M.P 454775, INDIA|04-3804
AMPROL 12% SOLUTION (1L)|AMPROLIUM HCL 12%|MERIAL 17, REU BOURGELAT 69002 LYON - FRANCE.|04-4260
AMSYN 250 X 100'S|AMPICILLIN 250MG|SWISS PHARM (PVT) LTD. 3709 GIDC PHASE IV VATVA AHAMEDBAD 382446, INDIA|04-3918
ANABEST ANALGIN|METAMIZOL 2.5GM|JINLING PHARMACEUTICALS CO. LTD., ZHEJIANG TIANGFENG PHARM. FACTORY, NO 518, CHINA.|04-3639
ANDREWS LIVER SALT LEMON  X50'S|MAGNESIUM SULPHATE 883MG/5G|SAME AS APPLICANT|04-0122
ANGECIMA  X 10'S|GENTAMYCIN SULPHATE 280MG|HUAGSHAN TINMU PHARM CO. LTD. 45, HUANGSHAN MIDDLE ROAD, HUANGSHAN CITY, CHINA|04-4389
ANGENO  X 50'S|AMINOPHYLLINE BP 250MG/10ML|HUANGSHAN TIAMMU PHARMACEUTICAL CO. LTD. 45 HUANGSHAN MIDDLE RD. HUANGSHAN CITY, CHINA|04-4391
ANGEREXO  X 5ML X 100'S AMPOULES|CHLOROQUINE PHOSPHATE 322.5MG|HUANGSHAN TIAMMU PHARMACEUTICAL CO. LTD. 45 HUANGSHAN MIDDLE RD. HUANGSHAN CITY, CHINA|04-3866
ANGETAL 2ML X 10ML|GENTAMICIN SULPHATE 80MG|HUANGSHAN TIAMMU PHARMACEUTICAL CO. LTD. 45 HUANGSHAN MIDDLE RD. HUANGSHAN CITY, CHINA|04-3874
ANOROL X 100'S|PARACETAMOL 450, ORPHENADRINE 30MG|HOVID SDN BHD 121 JALAN KUALA KANGASAR IPOH MALAYSIA|04-1471
ANPRODA X 10'S|PROMETHAZINE HYDROCHLORIDE 50MG|HUANGSHAN TIAMMU PHARMACEUTICAL CO. LTD. 45 HUANGSHAN MIDDLE RD. HUANGSHAN CITY, CHINA|04-3910
ANTEC  FEBRILE ANTIGEN TEST KIT|SALMONELLA TYPHI H,SALMONELLA H PARATYPHI A,B & C,SALMONELLA O PARATYPHI A,B,C|PLASMATEC LABORATORY PRODUCTS LTD.,UNIT 29,DREADNOUGHT TRADING ESTATE,BRIDPORT DORSET FT6 5BU  UK|04-4880
ANTEC  ONE STEP HCG TEST STRIPS|HUMAN CHOTIONIC GONADOTROPIN(HCG) ANTIBODY DYE,STRIPS|PLASMATEC LABORATORY PRODUCTS LTD.,UNIT 29,DREADNOUGHT TRADING ESTATE,BRIDPORT DORSET FT6 5BU  UK|04-4879
AP-CLOX    X 10 X 10'S|AMPICIILIN 250MG, CLOXACILLIN 250MG|SHREECHEM PHARM PVT. LTD. R-915 TTC INDUSTRIAL AREA RABALE, NAVI MUMBAI, INDIA|04-4636
APETIN X 60ML|CYPROHEPTADINE HYDROCHLORIDE 2MG/5ML|SAME AS APPLICANT|04-4732
APEXICIN  X 30ML|CHLOROQUINE PHOSHATE 40MG/ML|MEDOPHARM NO 1 THRUVIKA RD CHENNAI 600 006, INDIA|04-4452
APO-ACETAZOLAMIDE|ACETAZOLAMIDE 250MG|APOTEX INC. TORONTO, CANADA|04-4933
APO-ATENOLOL  X 100'S|ATENOLOL 100MG|APOTEX INC TORONTO, CANADA|04-4797
APO-DIAZEPAM X 10MG X 100'S|DIAZEPAM 10MG|APOTEX INC 150, SIGNET DRIVE, WESTON, TORONTO, CANADA|04-4661
APO-DIAZEPAM X 5MG X 100'S|DIAZEPAM 5MG|APOTEX INC 150, SIGNET DRIVE, WESTON, TORONTO, CANADA|04-4667
APO-FUROSEMIDE  X 100'S|FUROSEMIDE 40MG|APOLEX INC TORONTO, CANADA|04-4930
APO-IMIPRAMINE X 25MG X 100'S|IMIPRAMINE HYDROCHLORIDE 25MG|APOTEX INC 150,SIGNET DRIVE,WESTON,TORONTO,CANADA|04-4659
APO-PIROXICAM  X 20MG|PIROXICAM 20MG|APOTEX INC 150, SIGNET DRIVE, WESTON, TORONTO, CANADA|04-4664
APO-PROPRANOLOL X 1000'S|PROPRANOLOL 40MG|APOLEX INC TORONTO, CANADA|04-4928
APO-TAMOX X 100'S|TAMOXIFEN CITRATE 20MG|APOLEX INC., TORONTO, CANADA|04-4925
APO-TRIHEX  X 100'S|TRIHEXYL PHENIDYL HYDROCHLORIDE 5MG|APOTEX INC 150,SIGNET DRIVE,WESTON,TORONTO,CANADA|04-4781
APOX 500  X 100'S VIALS|AMPICILLIN 250MG, CLOXACILLIN 250MG|STERILE SPECIALIST LTD 1174B, ENIKEPADU IND. PVT VIJAYAWADA,521108, ANDHRA PRADESH, INDIA|04-4057
ARCONIFED  X 10 X 10'S AND 100'S|NIFEDIPINE 10MG|STRIDES ARCOLABS LTD; S.NO 36/7 SURAGAJAKKANAHALI,INDLAVADI CROSS ANEKAT,TALUK,BANGALORE 562 106, INDIA|04-4666
ARECILLIN X 100ML|AMPICILLIN 125MG/5ML|KWARA CHEMICAL CO. LIMITED, 3, OKO-ERIN ROAD, OFF TAIWO ROAD, ILORIN, KWARA STATE.|04-3732
ARENOL X 60ML|PARACETAMOL 125MG/ML|KWARA CHEMICAL CO. LIMITED, 3, OKO-ERIN ROAD, OFF TAIWO ROAD, ILORIN, KWARA STATE.|04-3731
ARESOLE BOLUS 50 BOLI|LEVAMISOLE HCL 300MG|KWARA CHEMICAL CO. LTD., 3, OKO-ERIN ROAD OFF IBRAHIM TAIWO RD. ILORIN KWARA STATE NIGERIA.|04-3758
ARINQUINE    X 1000'S|CHLOROQUINE PHOSPHATE 250MG|SAME AS APPLICANT|04-4720
ARNQUINE X 60ML|CHLOROQUINE PHOSPHATE 80MG/5ML|KWARA CHEMICAL CO. LIMITED, 3, OKE-ERIN ROAD, OFF TAIWO ROAD, ILORIN, KWARA STATE.|04-3733
AROMA SICKLE CELL ANAEMIA|FAGARA 50%|SAME AS APPLICANT|04-3681L
ARTCIN  X 12'S|ARTESUNATE  50MG|MEDREL PHARMACEUTICALS PVT LTD; 3325 GIDC SARIGAM DIST. VALSAD GUJARAT 396 155, INDIA|04-4213
ARTEMIDINE|ARTEMETHER 80MG|KUMMING PHARM CORP. 166 KOJI ROAD, STATE NEW HIGHTECH DEVPT. ZONE, KUMMING YUNAM PROVINCE, CHINA|04-4224
ARTEQUIN X 6'S|ARTESUNATE 200MG, MEFLOQUINE 250MG|MEPHA LTD., AESCH, BASEL, SWITZERLAND|04-3845
ASCOCHEW X 100S|ASCORBIC ACID 100MG|DIAMOND DRUGS LIMITED, 9, ADETOLA SHOBOWALE STREET, IKORODU, LAGOS.|04-3752
ASCOMED CHEWABLEX1000'S|ASCORBIC ACID 100MG|KUNIMEDPHARMACHEM1,ADELANWA STREET VALLEYESTATE DOPEMU,LAGOS|04-3669
ASCORPIL  X 1000'S|ASCORBIC ACID 100MG|SAME AS APPLICANT|04-4134
ASCORSYL VITAMIN C  X 1L|ASCORBIC ACID 100MG/5ML|SAME AS APPLICANT|04-4506
ASCORVIT X1000S|ASCORBIC ACID 100MG|SAM. PHARMA.LTD 2, WESTERN RESERVOIR ROAD ILORIN, KWARA STATE|04-0582
ASELE  50G|DIOSCOREA 50%, MANIHOT ESCULENTA 50%|SAME AS APPLICANT|04-3680L
ASKA-APETI X 20'S|CYPROHEPTADINE 4MG|NAXPAR LAB PVT LTD 120,MASAT IND EST. SILVASSA,INDIA|04-4771
ASPIRIN  X 1000'S|ACETYLSALICYLIC ACID 300MG|SAME AS APPLICANT|04-1026
ASPIRIN  X 1000'S|ACETYLSALICYLIC ACID 300MG|SAME AS APPLICANT|04-0453
ASPRIN  X1000|ACETYLSALICYLIC 300MG|CHEMO-PHARMA LTD 10,OLARENWAJU STREET OREGUN, IKEJA|04-3587
ASTYMIN-SN X 200ML|AMINO ACIDS PLUS XYLITOL 50MG|TABLETS (INDIA) LTD;179 T.H ROAD MADRAS-60081 INDIA|04-3629
ATROPINE  X 10ML|ATROPINE 1%|SAME AS APPLICANT|04-4128
AVAVITE LIQUID VITAMINS 500ML.|MULTIVITAMINS|NORBROOK AFRICA E.P.Z. LIMITED ATHI RIVER KENYA.|04-3829
AZINA  X 50'S|AMPICILLIN 500MG|HUAYUAN ZHONGSHEN PHARM CO. LTD. CHENGDE HIGHTECH IND DEV.ZONE HEBEI, CHINA|04-4404
BABANDAZO 50 BOLI|ALBEDANZOLE 250MG|SAME AS APPLICANT|04-4755
BABY COUGHMEAL X 100ML|DIPHEN. HCL 7MG,MENTHOL 0.55MG/5ML|SAME AS APPLICANT|04-4524
BABY QUICK TEETHING|PARACETAMOL 120MG/5ML, DIPHENHYDRAMINE 6.25MG/5ML|SAME AS APPLICANT|04-4238
BABYREX BABY  X 60ML|PARACETAMOL 125MG, DIPHENHYDRAMINE HCL 7MG|SAME AS APPLICANT|04-3937
BACLEX  X 100ML|AMPICILLIN TRIHYDRATE 125MG/5ML|BENTOS PHARM PRODUCTS LTD, KM 8, OLD, LAGOS ROAD, IBADAN, OYO STATE|04-3579
BACLEX AMPICILLIN  X 100X10'S|AMPICILLIN 250MG|SAME AS APPLICANT|04-4583
BACOPTRIN  X 50ML|SULPHMETHOXAZOLE 200MG +TRIMETHOPRIM  40MG/5ML|SAME AS APPLICANT|04-4520
BENTCOF      X 60ML|DIPHENHYDRAMINE HCL-7MG, TRISODIUM CITRATE- 28.5MG, MENTHOL-0.5MG|BENTOS PHARMPRODUCTS LTD,KM8, OLD, LAGOS ROAD, IBADAN,OYO STATE|04-3580
BENTOS PARACETAMOL  X 96'S|PARACETAMOL 500MG|SAME AS APPLICANT|04-0667
BENTOS VITAMIN B CO  X 1000'S|VIT B1 1MG, VIT B2 1MG, NICOTINAMIDE 15MG|SAME AS APPLICANT|04-1270
BENTOS VITAMIN C X 1000'S|ASCORBIC ACID 100MG|SAME AS APPLICANT|04-0690
BENTOVITE MULTIVITAMIN  X 100ML, 2L|VIT A 1000IU, VIT D 200IU, VIT C 50MG, , VIT B1  1.5MG/5ML|SAME AS APPLICANT|04-4707
BENTREN-SR X 10'S|DICLOFENAC 100MG|STALLION LABORATORIES (P) LTD; GIDC (KERALA) BAVIA DIST, AHMEDABAD GUJARAT, INDIA|04-3712
BENYLIN  WITH CODEINE  X 100ML'S|DIPHENHYDRAMINE HCL 12.5MG/5ML,CODEINE PHOSPHATE 10MG/5ML,AMMONIUM CHLORIDE 125MG/5ML|SAME AS APPLICANT|04-4855
BENYLIN CHESTY  X 100ML'S|ORCIPRENALINE 5MG/5ML, BROMHEXINE 4MG/5ML|SAME AS APPLICANT|04-4856
BENYLIN DRY COUGH X 100ML|DEXTROMETHOPHAN 15MG|SAME AS APPLICANT|04-4916
BENYLIN EXPECTROANT  X 100ML|DIPHENHYDRAMINE HCL. 14MG, AMM. CHLORIDE 135MG.|NIGERIAN GERMAN CHEMICALS PLC, KM, 38, ABEOKUTA EXPRESSWAY, SANGO-OTTA, OGUN STATE.|04-0887
BENYLIN FOR CHILDREN  X100 ML|DIPHENHYDRAMINE HCL 7MG, SOD.CITRATE 28.5MG|NIGERIAN-GERMAN CHEMICALSPLC, KM38, ABEOKUTA EXPRESSWAY OTAOGUN STATE|04-0887
BENYLIN ORIGINAL COUGH X 100ML|DIPHENHYDRAMINE HCL 12.5MG, AMMONIUM CHLORIDE 125MG|SAME AS APPLICANT|04-4917
BENZAMIN B12 (25ML)|DIMINAZENE DIACETURATE 42MG, ANTIPYRINE 400MG, CYANOCOBALAMIN 40MCG E.T.C|REVETMEX S.A DE C.V PROL CALZ DE LA VIGA NO. 1937 COL. PRADO CHURUBUSCO DELEG COYOACAM C.P 04230 MEXICO D.F|04-4754
BENZYL BENZOATEX 100ML.|BENZYL BENZOATE B.P 25%|MOPSON PHARMA.LTD.47 OSOLOWAY AJAO ESTATEOSHODI LAGOS|04-3661
BEOPTIC-N  X 5ML|NEOMYCIN SULPHATE BETAMETHASONE SOD. PHOSPHATE 1MG|ASHFORD LABORATORIES LTD 2284, PASONG TAMO EXT. MAKATI, METRO-MANICA, PHILIPINES|04-3555
BEOPTIC-N X5GM|NEOMYCIN SULPHATE 0.5%W/W, BETAMETHASONE SOD. PHOSPHATE 0.1%W/W|ASHFORD LABORATORIES LTD 2284, PASONG TAMO EXT. MAKATI, METRO-MANICA, PHILIPINES|04-3554
BE-PLEX  X 1'S (VIALS)|NICOTINAMIDE 150MG/10ML, VIT B1 100MG/10ML, VIT B2 15MG/ML, VIT B6 10MG/10ML|JINLING PHARM. CORPORATION, NO11, CHEZHAM ROAD, HUZHOU, CITY, ZHEJIANI, CHINA.|04-3695
BE-PLEX X 1'S (VIALS)|NICOTINAMIDE 150MG/10ML, VIT.B1 100MG/10ML, VIT. B2 15MG/ML, VIT. B6 10MG/10ML|SIGNET PHARMA LTD; SIDHPURA ESTATE, S. V. ROAD, GOREGAON (W), MUMBAI 400062, INDIA|04-3695
BESTOXY 5%(100ML & 50ML)|OXYTETRACYCLINE HCL B.P 5%|SKM PHARMA PVT LTD WORKS AT;GOLLAPADU 522 408,AP ADMIN OFFICE,TF 10,CITY POINT INFANTRY RD. BANGALORE,56001  INDIA|04-4868
BETA-C  X 100ML|ASCORBIC ACID 40MG/5ML|SAME AS APPLICANT|04-4519
BETADINE  X 40G|POVIDONE IODINE 10% W/W|MUNDI PHARMACEUTICALS LTD, 13 OTHELLOS STREET, DHALI INDUSTRIAL ZONE 1685 NICOSIA CYPRUS|04-4017
BETADINE ANTISEPTIC SOLUTIONX 120ML|POVIDONE IODINE 10%|MUNDI PHARMACEUTICALS LTD, 13 OTHELLOS STREET, DHALI INDUSTRIAL ZONE 1685 NICOSIA CYPRUS|04-4016
BETADINE MOUTH WASH GARGLE X 125ML|POVIDONE IODINE 1%|MUNDI PHARMACEUTICALS LTD, 13 OTHELLOS STREET, DHALI INDUSTRIAL ZONE 1685 NICOSIA CYPRUS|04-4013
BETADINE SURGICAL SCRUB X 120MLS|POVIDONE IODINE 7.5%|MUNDI PHARMACEUTICALS LTD, 13 OTHELLOS STREET, DHALI INDUSTRIAL ZONE 1685 NICOSIA CYPRUS|04-4018
BETAMOL X 60ML|PARACETAMOL 125MG/5ML|SAME AS APPLICANT|04-4521
BETAQUINE  X 60ML|CHLOROQUINE PHOSHATE 80MG/5ML|SAME AS APPLICANT|04-4523
BETAREN  X 50'S|DICLOFENAC SODIUM 50MG|DEXCEL LTD SOUTHERN INDUSTRIAL ZONE OR-AKVIA,30600, ISRAEL|04-0928
BETAREN  X 50'S|DICLOFENAC SODIUM 50MG|DEXCEL LTD SOUTHERN INDUSTRIAL ZONE OR-AKVIA, 30600 ISRAEL|04-0928
BETAREN DEXEL 100 RETARD X 10'S|DICCLOFENAC SODIUM 100MG|DEXCEL LIMITED; SOUTHERN INDUSTRIAL ZONE OR-AKIVIA 30600,  ISRAEL|04-3877
BETNOVATE-N  X 15G|BETAMETHASONE 0.1W/W, NEOMYCIN SULPHATE|GLAXO OPERATIONS UK LTD GREENFORD ENGLAND|04-1127
BEXITEN X 20G|DEXMETHASONE 0.04G, CLOOTRIMAZOLE 1G|SYNMEDICS LABORATORIES 166, DLF IND AREA PHASE 1 FANDABADE 121003 INDIA|04-4656
BI-CILLIN X 1'S(VIAL)|FORTIFIED PROCAINE PENICILLIN 4GM|SHIJIAZHUANG NO. 2 PHARMACEUTICAL FACTORY; 188 GONGNONG ROAD SHIJIAZHUANG, P.R CHINA|04-3787
BICOLZAN  X 10'S|VITAMIN B COMPLEX|SHANGHAI MEDICINAL CORPORATION 9,YANAN ROAD,(E), SHANGHAI, CHINA|04-4218
BIOSENTRY TB PHENOLIC DISINFECTANT X 3.8LTRS|PHENOL|BIOSENTRY INC, 481, ROCK MOUNTAIN BLVD, STONE MOUNTAIN, USA|04-3692
BIOVIT VITAMIN B COMPLEX  X 180ML|VIT B1 (THIAMINE HCL)  5MG, VIT B2 ( RIBOFLAVINE) 2MG, NICOTINAMIDE 20MG, VIT B6 (PYRIDOXINE HCL) 2MG|SAME AS APPLICANT|04-1759
BIOZONE  X 200ML'S|NICOTINAMIDE 10MG, IRON 18MG,VIT C 20MG, VIT B1 1MG, VIT B2 1MG/5ML|SAME AS APPLICANT|04-4839
BLIMKETAS X 500'S|LEVAMISOLE 40MG|VARDHMAN EXPORTS A 188,TTC,MIDC,KHAIRNE,NAVI MUMBAI 400701,INDIA|04-4665
BLOOD CURE FORMULA  X 90'S|CINCHONA SUCCIRUBA, KHAYA IVORENSIS, COLCASIA ANTIGUORUM, THEOMBROMA COCOA|YEM-KEM INTERNATIONAL LIMITED 1, PRINCE (DR.) TUNDE AYENI STREET, ONIKANGA IPAJA LAGOS|04-4277L
BNS-500  X 96'S|ACETAMINOPHEN 500MG|AUROCHEM PHARMACEUTICALS(I) PVT. LTD. 58, PALGHAR TALUKA IND. ESTATE LTD. PALGHAR DIST THANE 401 404 INDIA|
BONABABE BABY  X 60ML|PARACETAMOL 120MG, DIPHEN.HCL 6.25MG|SAME AS APPLICANT|04-3588
BONABABE X 60ML|DIPHENHYDRAMINE HCL 6.25MG, PARACEMATOL 120MG|BOND CHEMICAL IND. LTD ADESAKIN LAYOUT OFF IWO ROAD AWE OYO STATE|04-3588
BONDCO X 1000'S|VIT B1 1MG, VIT B2 1MG, NICOTINAMIDE 15MG|SAME AS APPLICANT|04-0494
BONFEN-200  X 20'S|IBUPROFEN 200MG|PHAKT OVERSEAS 6,7,8 MANGALAM ANAD NAGAR, DAHISAR (E) MUMBAI, INDIA|04-4790
BONFEN-400|IBUFROFEN 400MG|PHAKT OVERSEAS 6,7,8 MANGALAM ANAD NAGAR, DAHISAR (E) MUMBAI, INDIA|04-4810
BRONCOLIN  X 100ML|SALBUTAMOL  2MG/5ML|SAME AS APPLICANT|04-4547
BROOKS INSECTICIDES (AEROSOL 320ML & 4L)|PYRETHINOIDS 0.45%|SAME AS APPLICANT|04-4149
BRUXINE 50MG|OXYTETRACYCLINE HCL BP 50MG|SAME AS APPLICANT|04-4261
BUPROL  X 100'S|IBUPROFEN 400MG|HOVID SDN BHD 121 JALAN KUALA KANGASAR IPOH, MALAYSIA|04-4397
CAFANAM  X 1G X 10VIALS|CHLORAMPHENICOL 1G|SWSS PARENTERAL PVT LTD. 809, KERALA INDUSTRIAL ESTATE, GIDC, AHMEDABAD, INDIA|04-4639
CAFCHLOR  X 50'S|CHLORAMPHENICOL SODIUM SUCCINATE  1G|MEDREL PHARM PVT LTD 54B, DRUG HOUSE, PROCTER ROAD, MUMBAI, INDIA|04-4380
CAFCOL  X 1000'S|CHLORAMPHENICOL 250MG|ELYSIUM PHARM LTD. DHABSA 391 440 VADODARA, (GUJARAT) INDIA|04-4787
CAFENOL  X 160'S & 60'S|ACETYLSALICYLIC ACID 375MG,CAFFEINE 25MG|GLAXOSMITHKLIME PLC 49/51,TOWN PLANNING WAY, ILUPEJU, LAGOS|
CAFEPRIN  X 1000'S|ACETYLSALICYLIC ACID 300MG, CAFFEINE 15MG|SAME AS APPLICANT|04-4500
CANNON  X2 X 10'S|PARACETAMOL 500MG, CAFFEINE 30MG|P.T DANKOS LABORATORIES TBK JALAN, RAWA GATE BLOCK III S.KAWASAN IND JAKARTA, INDONESIA|04-4386
CAPSAGEL  X 56GM|CAPSAICIN 0.025%|IYATA PHARM INC;MILWAUKEE WI 53202 USA|04-3566
CAPSAGEL X 28GM|CAPSAICIN 0.075%|IYATA PHARM INC;MILWAUKEE WI 53202 USA|04-3564
CAPSAGEL X 56MG|CAPSAICIN 0.05%|IYATA PHARM INC;MILWAUKEE WI 53202 USA|04-3553
CARAT DISINFECTANT X 5LT|5% CHLOROXYLENOL|CHEMICAL  AND PRODUCTS  PLC 24,COMMERCIAL ROAD, APAPA LAGOS|04-0782
CARDILAN 100  X 50'S|HYDROCORTISONE SODIUM SUCCINATE 100MG|FLAMINGO PHARMACEUTICALS LTD. R-662 TTC IND. AREA, RABALE NAVI MUMBAI 400071 INDIA|04-3864
CAREGYL  10 X 10'S|METRONIDAZOLE 200MG|SAME AS APPLICANT|04-2653
CAREON IRON + VITAMIN BLOOD X 100ML & 200ML|FERRIC AMMONIUM CITRATE 69MG,VIT B1 5MG,VIT B2  2MG, VIT B6  2MG, NICOTINAMIDE 20MG/5ML|SAME AS APPLICANT|04-4518
CARZEPIN X 500'S|CARBAMAZEPINE 200MG|HOVID SDN, BHD.121 JALAN KUALA LANGSAR 30010 IPOH, MALAYSIA|04-0685
CASPER ANTI-MOSQUITOE COIL|ALLETHRIN 0.20%|TAINWALA PERSONAL CARE PRODUCTS LTD. TAINWALA HOUSE, RD.NO. 18 M.I.D.C. ANDHERI (E) MUMBAI 400093|04-3612
CASPER CORDLESS  ELECTRONIC  MOSQUITO MACHINE|ALLETHRIN -0.2%|TAINWALA PERSONAL CARE  PRODUCTS LTD., TAINWALA HOUSE, RD., 18 MIDC ANDHERI (E) MUMBAI 400093 ,INDIA.|04-3676
CATAFLAM 50  X 100'S|DICLOFENAC POTASSIUM 50MG|NORVATIS PHARMA AG BASLE, SWITZERLAND/SUIZA|
CATOMIN X 10'S|VITAMIN B 12 1000MCG|PAR-SINE LABS NO.71, SICHAN ROAD(N), SHANGHAI,CHINA|04-3891
CEELCO  X 100ML|ASCORBIC ACID 100MG/5ML|SAME AS APPLICANT|04-4584
CEEPQUINE X 30 X 25'S|CHLOROQUINE PHOSHATE 40MG/ML|SHREECHEM PHARM PVT. LTD. R-915 TTC INDUSTRIAL AREA RABALE,NAVI MUMBAI, INDIA|04-4480
CEFACLOR TEVA|CEFACLOR 250MG/5ML|TEVA PHARM IND LTD 5, BASEL STREET, PETAH-TIKVA, ISRAEL|04-4777
CEFOTAXIME  X 1'S|CEFOTAXIME SODIUM 1GM|SYNCOM FORMULATIONS (INDIA) LTD.256 257, SECTOR-1 (DHAR) 454 775, INDIA|04-4478
CEFOTAXIME X 10ML|CEFOTAXIME 0.5GM|M.T. BIOPHARM PVT LTD, 113 JOLLY MAKER CHAMBER, 2 NARIMAN MUMBAI, INDIA|04-3698
CEFOTAXIME X 10ML|CEFOTAXIME 1G|M.T. BIOPHARM PVT LTD, 113 JOLLY MAKER CHAMBER, 2 NARIMAN MUMBAI, INDIA|04-3696
CEFTRIAXONE X 1'S (VIAL)|CEFTRIAXONE 0.5GM/ 10ML|M. J. BIOPHARM PRIVATE LTD; 113 JOLLY MAKER CHAMBERS, 2 NARIMAN PONIT, MUMBAI 400021, INDIA|04-3719
CEFTRIAXONE X 1'S (VIAL)|CEFTRIAXONE 1GM/10ML|M. J. BIOPHARM PRIVATE LTD; 113 JOLLY MAKER CHAMBERS, 2 NARIMAN PONIT, MUMBAI 400021, INDIA|04-3717
CELEXIN X 60ML|CEPHALEXIN 125MG/5ML|HOVID SDN BHD 30010 IPOH, MALAYSIA|04-4175
CENCOLES ALCOHOL ANTISEPTIC X 30ML'S|ALCOHOL 80%, PEPPERMINT OIL 1.32%|SAME AS APPLICANT|04-4858
CENO CHLOROQUINE PHOSPHATE  X 60ML|CHLOROQUINE PHOSPHATE 80MG/5ML|CENO  PHARMACY  LTD, 10 ZIK AVENUE, ABAKALIKI, EBONYI  STATE|04-3821
CENO COUGH  X 100ML|DIPHENHYDRAMINE HCL 7MG, SOD.CITRATE BP 28.5MG, AMMONIUM CHLORIDE 70MG, MENTHOL 0.55MG|SAME AS APPLICANT|04-3948
CENOMOL PARACETAMOL X60ML|PARACETAMOL 125MG/5ML|CENO PHARMACY LTD.10,ZIK AVENUE, ABAKALIKI, EBONYI STATE|04-3818
CENOVIT- C VITAMIN X 100ML|ASCORBIC ACID 40MG/5ML|CENO PHARMACY LTD 10, ZIK AVENUE ABAKILIKI EBONYI|04-3824
CENPREN  10'SX 100|AMPICILLIN 250MG|MEDOPHARM 34B INDUSTRIAL AREA KOLAR DISTRICT MALUR 53130 KAMATAKA, INDIA|04-4089
